Epiphyte,Acanthachitona_tasiculoris,Acanthochitona_crinita,Achelia_echinata,Acrochaetium_secundatum,Aglaophenia_pluma,Aglaothamnion_feldmanniae,Aglaothamnion_tripinnatum,Alcyonidium_gelatinosum,Alcyonidium_hirsutum,Amathia_imbricata,Ammonia_spp.,Ammothella_longipes,Amphipholis_squamata,Amphisbetia_distans,Ampithoe_rubricata,Anoplodactylus_petiolatus,Anurida_maritima,Aphelochaeta_filiformis,Apherusa_bispinosa,Apherusa_jurinei,Aplidium_pallidum,Apohyale_prevostii,Apseudopsis_latreillii,Ascidiella_scabra,Asterias_rubens,Audouinella_hermannii,Barleeia_unifasciata,Bicellariella_ciliata,Bolivina_variabilis,Botrylloides_leachii,Bougainvilla_muscus,Bryopsis_plumosa,Buccinum_undatum,Calliopius_laeviusculus,Callipallene_brevirostris,Callithamnion_tetricum,Calycella_syringa,Caprella_linearis,Carcinus_maenas,Caulacanthus_ustulatus,Celleporella_hyalina,Ceramium_botryocarpum,Ceramium_ciliatum,Ceramium_cimbricum,Ceramium_echinotum,Ceramium_flaccidum,Ceramium_gaditanum,Ceramium_pallidum,Ceramium_secundatum,Ceramium_virgatum,Cerastoderma_edule,Chaetomorpha_ligustica,Chaetomorpha_linum,Chaetomorpha_mediterranea,Chaetomorpha_melagonium,Champia_parvula,Chironomidae_spp.,Chondracanthus_okamurae,Chondrus_crispus,Chthamalus_montagui,Circeis_spirillum,Cladophora_albida,Cladophora_battersii,Cladophora_dalmatica,Cladophora_glomerata,Cladophora_hutchinsiae,Cladophora_laetevirens,Cladophora_rupestris,Cladophora_sericea,Cladophora_vagabunda,Cladostephus_spongiosus,Clytia_hemisphaerica,Colaconema_daviesii,Copepoda_spp.,Corallina_ferreyrae,Corallina_officinalis,Coryne_eximia,Coryne_muscoides,Coryne_pusilla,Crab_Megalopa_indet,Crassicorophium_bonellii,Craterolophus_convolvulus,Crisilla_semistriata,Crustose_Coralline_indet.,Cryptopleura_ramosa,Cryptosula_pallasiana,Cythere_lutea,Cytherura_gibba,Demospongiae_spp.,Dexamine_spinosa,Dexamine_thea,Diatom_spp.,Dictyota_dichotoma,Dictyota_spiralis,Didemnum_maculosum,Dikoleps_nitens,Dynamena_pumila,Dynamene_bidentata,Dynamene_magnitorata,Ectocarpus_siliculosus,Ectopleura_elongata,Elachista_fucicola,Electra_pilosa,Ellisolandia_elongata,Endeis_charybdaea,Endeis_spinosa,Epigamia_alexandri,Erythroglossum_laciniatum,Eurysyllis_tuberculata,Exogone_naidina,Exogone_verugera,Fabricia_stellaris,Flustrellidra_hispida,Fucus_serratus,Gaillona_hookeri,Gammaropsis_maculata,Gammarus_zaddachi,Gelidium_pulchellum,Gelidium_spinosum,Gonothyraea_loveni,Gracilaria_gracilis,Grateloupia_filicina,Halacaridae_spp.,Halurus_equisetifolius,Harmothoe_imbricata,Harmothoe_impar,Heterocythereis_albomaculata,Hiatella_arctica,Hippolyte_varians,Hyas_coaritatus_Megalopa,Hypoglossum_hypoglossoides,Idotea_balthica,Idotea_chelipes,Idotea_granulosa,Idotea_neglecta,Idotea_pelagica,Iphimedia_obesa,Ischyrocerus_anguipes,Jaera_hopeana,Janira_maculosa,Jassa_falcata,Joeropsis_brevicornis,Kellia_suborbicularis,Kirchenpaueria_pinnata,Lacuna_pallidula,Lacuna_parva,Lacuna_vincta,Laeospira_corallinae,Laomedea_flexuosa,Lasaea_adansoni,Leptocythere_pellucida,Leptosiphonia_fibrata,Liparis_montagui,Lithophyllum_incrustans,Littorina_saxatilis,Lomentaria_articulata,Loxoconcha_impressa,Maera_grossimana,Massilina_secans,Membranipora_membranacea,Membranoptera_alata,Microdeutopus_anomalus,Microporella_ciliata,Modiolula_phaseolina,Monocorophium_sextonae,Monostroma_grevillei,Musculus_discors,Myrianida_prolifera,Mytilus_edulis,Neanthes_nubila,Nematoda_spp.,Nereiphylla_rubiginosa,Nitophyllum_punctatum,Nolella_dilatata,Nototropis_falcatus,Nototropis_swammerdamei,Nymphon_brevirostre,Nymphon_gracile,Obelia_dichotoma,Obelia_geniculata,Obnemertes_ramosa,Obtusella_intersecta,Odostomia_plicata,Odostomia_unidentata,Omalogyra_atomus,Onoba_semicostata,Orthopyxis_integra,Osmundea_hybrida,Osmundea_oederi,Osmundea_osmunda,Osmundea_pinnatifida,Pagurus_bernhardus,Palmaria_palmata,Paradoxostoma_variabile,Parajassa_pelagica,Patella_depressa,Patella_pellucida,Pholoe_inornata,Phorcus_lineatus,Phoxichilidium_femoratum,Phyllophora_crispa,Phymatolithon_purpureum,Pilumnus_hirtellus,Pisidia_longicornis,Platynereis_dumerilii,Plocamium_cartilagineum,Plocamium_maggsiae,Plumularia_setacea,Polyneura_bonnemaisonii,Polysiphonia_devoniensis,Polysiphonia_elongella,Polysiphonia_fibrata,Polysiphonia_stricta,Porphyra_spp.,Pseudoprotella_phasma,Ptilohyale_littoralis,Pycnogonum_litorale,Rhodochorton_purpureum,Rhodophyllis_divaricata,Rhodothamniella_floridula,Rhodymenia_pseudopalmata,Rissoa_membranacea,Rissoa_parva,Rissoella_diaphana,Rissoella_opalina,Sabellaria__aveolata,Sabellaria_spinulosa,Schizymenia_dubyi,Scruparia_chelata,Setia_pulcherrima,Skeneopsis_planorbis,Sphaecelaria_cirrosa,Sphaerosyllis_hystrix,Spiralina_spiralis,Spirorbis_cuneatus,Spirorbis_spirorbis,Spirorbis_tridentatus,Spongomorpha_aeruginosa,Stenothoe_monoculoides,Steromphala_umbilicalis,Sunamphitoe_pelagica,Syllis_gracillis,Tamarisca_tamarisca,Tanais_dulongii,Titanoderma_spp.,Tricolia_pullus,Trididemnum_cereum,Tritia_reticulata,Trypanosyllis_coeliaca,Turtonia_minuta,Ulothrix_flacca,Ulva_compressa,Ulva_intestinalis,Ulva_lactuca,Ulva_linza,Ulva_prolifera,Ulva_pseudocurvata,Ulva_rigida,Ulvella_leptochaete,Undet_Didemnidae_spp.,Urosalpinx_cinerea,Velutina_velutina,Vertebrata_fucoides,Vertebrata_nigra,Walkeria_uva,Womersleyella_setacea
Corallina_officinalis,1,0,7,2,0,0,0,0,30,0,0,26,18,0,14,1,0,1,7,15,0,6,1,0,4,1,3,0,0,1,0,0,1,4,0,0,0,3,0,0,2,12,0,0,7,0,0,3,0,5,2,0,1,0,0,0,5,0,0,0,3,0,1,3,1,0,8,6,1,1,0,0,0,4,0,0,0,1,2,1,0,0,4,0,2,0,24,6,14,0,3,0,2,0,0,2,9,12,1,3,0,0,32,0,2,1,3,2,2,0,0,0,0,0,5,0,0,1,3,5,0,0,22,0,0,0,0,0,0,1,2,1,0,3,0,18,2,2,0,0,4,0,0,0,12,5,0,21,12,0,15,0,0,0,0,16,13,0,28,0,0,1,0,0,0,11,8,6,44,0,15,1,0,0,0,10,6,3,0,0,0,2,1,2,6,9,0,0,1,0,0,0,5,0,9,5,8,6,0,13,0,0,0,0,16,3,8,1,1,0,0,0,0,0,2,0,8,8,0,0,0,3,32,13,40,0,2,0,4,45,7,7,5,2,1,0,0,0,35,1,0,1,0,0,0,6,0,5,0,10,0,0,0,30,25,3,0,0,0,0,2,0,4,3,20,0
Fucus_serratus,0,1,1,0,0,1,0,1,2,0,0,1,0,0,4,0,0,0,0,2,1,3,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,1,1,1,0,2,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,1,0,0,0,19,8,0,1,0,22,23,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,8,0,0,0,0,0,0,0,0,8,2,4,0,4,0,1,0,1,0,0,25,0,0,1,1,10,0,0,0,0,1,3,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,12,0,2,0,10,1,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,9,0,0,0,1,0,0,2,0,6,0,12,0,0,0,0,13,0,1,0,0,0,4,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,3,1,18,19,0,0,0,0,0,0,0,0,0,0,0
Cladophora_rupestris,0,0,6,0,0,0,8,0,0,0,0,5,5,0,3,0,1,0,0,0,0,27,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,5,0,7,37,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,2,0,0,11,0,24,0,0,1,0,0,0,20,0,0,0,0,0,0,0,0,0,1,0,0,0,13,2,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,0,0,3,0,27,0,0,0,0,0,0,0,7,0,0,30,8,42,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,10,0,0,3,0,0,0,0,0,0,0,0,0,44,0,26,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,16,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,1,0,15,0,0,0,0,0,0,18,0,0,0,16,0,0,18,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,15,0,0,0,0,0,0,0,5,0,15,0
Osmundea_osmunda,0,0,3,0,1,0,2,0,1,0,0,3,5,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,1,4,0,12,12,0,0,4,0,1,4,0,8,0,6,4,2,4,0,0,2,1,1,0,2,0,0,0,0,0,11,1,0,1,1,0,0,3,23,0,0,0,0,0,0,4,0,1,1,0,0,7,0,0,0,4,0,1,0,6,17,0,0,1,1,23,1,0,0,0,1,0,0,0,0,1,0,0,1,0,3,4,2,0,3,2,0,0,0,0,0,1,0,3,0,0,7,1,18,6,0,1,0,0,1,0,1,1,1,0,0,6,0,0,1,0,0,1,5,0,0,0,0,0,0,0,0,0,9,0,0,37,0,5,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,4,3,2,0,0,0,0,0,0,0,0,0,0,12,0,2,0,0,1,0,0,0,0,0,4,7,2,10,0,0,0,0,0,0,6,1,6,1,0,1,0,0,0,0,0,0,0,0,0,20,3,0,1,1,0,0,0,2,2,2,3,1
Chondrus_crispus,0,0,0,4,0,0,0,5,6,1,0,0,0,0,7,0,0,0,0,3,3,3,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,1,8,9,1,3,0,0,2,5,0,14,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,10,0,0,0,0,0,0,0,0,4,0,0,2,1,0,0,0,4,2,0,0,11,2,0,0,0,0,42,4,0,0,0,5,0,1,0,0,0,0,1,0,1,1,3,0,0,0,1,0,1,0,0,4,0,0,4,2,1,1,1,6,0,4,0,0,4,0,0,0,4,3,0,0,18,0,1,0,0,0,0,18,0,0,0,4,1,0,2,0,0,3,2,0,38,0,2,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,1,0,0,26,0,0,1,16,1,0,0,0,0,0,0,6,0,1,0,0,0,0,2,0,0,0,0,0,9,2,0,1,0,0,1,6,0,0,1,2,15,0,0,0,0,0,2,1,1,3,0,0,1,0,0,0,1,5,0,0,0,0,4,0,14,8,0,0,0,0,1,0,0,2,1,1,0
Gelidium_spinosum,0,0,0,1,0,0,0,0,0,0,13,0,0,5,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,5,0,0,0,0,0,0,3,0,6,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,7,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,28,4,0,0,0,0,0,0,0,0,0,0,0
Palmaria_palmata,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,4,0,0,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,32,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,1,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,1,1,0,5,4,0,0,0,0,0,0,0,0,0,0,0
Dictyota_dichotoma,0,0,0,0,1,0,1,0,0,0,0,3,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,26,0,0,4,0,5,0,0,6,0,0,6,3,0,0,0,2,2,0,0,3,0,0,0,0,0,5,2,0,0,0,0,6,1,16,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,2,10,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,13,0,0,0,0,0,1,0,5,0,0,10,0,13,13,0,0,0,3,0,0,0,0,0,0,0,5,1,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,3,0,0,28,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,1,0,13,0,0,0,0,0,0,1,0,0,0,12,1,0,9,0,0,0,0,0,0,14,0,7,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,4,0,13,0
Laminaria_digitata,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,4,0,0,1,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,8,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,1,0,17,0,0,0,0,0,0,0,11,9,0,0,0,5,21,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0,0,0,1,4,2,0,6,0,0,0,0,0,3,0,0,0,17,0,4,0,1,8,0,3,3,0,0,9,0,0,0,0,5,0,7,0,0,8,10,6,0,0,1,16,0,5,1,28,9,10,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,16,1,5,0,19,0,0,0,0,2,1,0,13,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,1,2,0,0,5,0,0,0,0,0,13,0,0,0,0,0,7,9,0,0,0,1,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Ulva_lactuca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,5,0,1,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
